name_zh,name_en,booth_no,hall,country,category,description,website,directory_url,pdfs
海星瑞光,Hymson Novolas AG,N3-A602,N3,SWITZERLAND,cat-14,海星瑞光（Hymson Novolas）作为海目星激光科技集团（股票代码：688559）旗下专注激光塑料焊接的核心业务板块，其前身为瑞士莱丹（Leister）激光塑料焊接业务，自1998年涉足该领域以来，已积累近30年技术沉淀与行业经验。传承莱丹集团75载工业基因与全球独有的GLOBO焊接、掩膜焊接等专利技术，该业务板块在2025年通过海目星战略收购完成整合升级，延续了瑞士制造的卓越品质与创新传统。如今依托海目星的自动化技术优势与全球化服务网络，不仅覆盖汽车零部件、医疗器械、消费电子等多领域精密焊接需求，更以全工艺解决方案与定制化服务，成为激光塑料焊接领域的技术标杆与可靠合作伙伴。,https://global.hymson.com/en/about-haimu-star/subsidiary,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466914/hymson-novolas-ag,https://image.imconlinereg.com/mm-mtc/2026-06-15/98012850D61E13522DD7CB7EB7BD4844.pdf;https://image.imconlinereg.com/mm-mtc/2026-06-15/01305E37606742682A79707ECBB8978A.pdf
上海锐淅医学科技有限公司,RUIXI MEDICAL SCI-TECH,N3-C502,N3,CHINA,cat-17,旨在服务于介入类医疗器械公司，是一家专注于医疗器械检测设备、生产设备和技术的研发、生产、销售与服务为一体的企业。,https://www.ruiximed.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466915/ruixi-medical-sci-tech,
上海帝人化成贸易有限公司,Teijin Limited,N2-B106,N2,CHINA,cat-01,1960年帝人集团在日本率先就聚碳酸酯树脂实现了工业化生产，并将其命名为「Panlite®」。长期以来，帝人一直致力于其性能的提高和用途开发等方面的研究，从而使「Panlite®」成为了公认的具有代表性的工程塑料。在医疗领域，帝人已经拥有30年以上的开发和销售经验。并且不断地以勇于开拓的精神为医疗技术的发展提供最佳解决方案，满足客户不同需求。,https://www.teijin-resin.cn/,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466916/teijin-limited,
昆山普佳禾生物科技有限公司,Kunshan Pujiahe Biotech,N2-G405,N2,CHINA,cat-05,"昆山普佳禾生物科技坐落于高端装备制造基地苏州昆山市。专注于无菌医疗器械精密组件的研发与制造。我们秉持""中而精""的发展理念，以灵活高效的运营模式，为客户提供从协助产品开发、物料选择、洁净注塑到产品无菌组装的全流程合作研发生产服务。凭借深厚的行业经验与严格的质量管控体系，我们帮助客户缩短研发周期、降低生产成本，以专业制造能力赋能医疗创新。",,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466917/kunshan-pujiahe-biotech,
上海通泰化学有限公司,"Shanghai Tongtai Chemical Co., Ltd.",N2-B505,N2,CHINA,cat-04,上海通泰化学有限公司于1999年在上海成立，专业从事胶黏剂、点胶设备、UV固化设备、胶体混合设备的推广工作，是EPOXY TECHNOLOGY，Epoxies，Royal Adhesives and Sealants，Brulin公司产品在大陆地区的代理。为客户提供专业的用胶技术支持；同时还专注于水基清洗剂的清洗应用推广，为生产制造、航空航天领域提供卓越的清洗服务。,https://www.ttc-sh.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466918/shanghai-tongtai-chemical-co---ltd-,https://image.imconlinereg.com/mm-mtc/2026-01-12/E6033DA36E62AD932D343F7114B3E1E7.pdf
日本特殊管製作所,"NIPPON TOKUSHUKAN MFG.CO.,LTD",N1-H603,N1,JAPAN,cat-02,半个世纪前，我们在世界上首次成功实现了注射针用不锈钢管的浮动卷绕拉伸， 并通过降低原料针的批量生产成本，为一次性注射针在世界范围内的推广做出了重大贡献。 这次，我们又开发了用于导管显影环的放芯浮动卷绕拉伸、实现了降低成本、缩短交货期和批量生产。 多年来，我们一直为医疗行业做出贡献，并在不断发展。,https://nittoku.com/en/,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466919/nippon-tokushukan-mfg-co--ltd,https://image.imconlinereg.com/mm-mtc/2025-07-14/26620DB78C887D892A64D92E0A2B2404.pdf
江苏钛古真空科技有限公司,"Jiangsu Thaikoo Vacuum Technology Co., Ltd",N3-G709,N3,CHINA,cat-10,江苏钛古真空科技有限公司是经昆山市工商局批准注册的合法企业，生产基地位于昆山市经济技术开发区前进东路488号，主要从事真空科技领域内的真空炉的研发、制造、销售等业务。 集团公司经过多年发展沉淀，目前已研发生产多种真空炉型，产品包括真空管式炉、滑轨式真空管式炉、金属屏卧式真空炉、真空气淬炉等系列。主要针对医疗领域产品热处理，包括钛合金植入、镍钛支架、根管锉、不锈钢导丝真空退火炉等，获得了广大用户的青睐与好评。我司真空炉在炉温均匀性获得、高温真空度获得等方面见长。,https://www.thaikoo.cn,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466921/jiangsu-thaikoo-vacuum-technology-co---ltd,
深圳市凯普机械有限公司,Shenzhen KAP Machinery Co.Ltd,N3-A213,N3,ITALY,cat-09,"深圳市凯普机械有限公司, 是意大利MEGA注塑设备亚洲区分部, 公司设备展示中心位于深圳宝安区桃花源科技创新园(松岗分园); 为客户提供从产品研发、技术评估到注塑生产整体方案的服务。  MEGA是一个专业的技术团队, 三十多年一直专注于微型注塑领域的技术开发，拥有优良的设备质量和优质的售后服务；公司在欧洲和亚洲享有良好的声誉，获得全球著名公司的信赖和长期合作。",https://www.kapmega.com,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466922/shenzhen-kap-machinery-co-ltd,https://image.imconlinereg.com/mm-mtc/2026-07-23/58EC3299F79C018DE35FFA6BF3BFCBB3.pdf
广东泰迡斯精密设备有限公司,"Guangdong Tainisi Precision Equipment Co., Ltd",N3-C212,N3,CHINA,cat-14,Tns-ultrasonic 成立于2013年，位于广东深圳市宝安区松岗街道，佛山南海、江苏苏州吴江建立有销售以及售后服务中心。广东泰迡斯精密设备有限公司，以开发、生产和销售超声波金属焊接机、超声波扭矩焊接机、超声波线束焊接机、超声波塑料焊接机、各种焊接应用焊头、焊座夹具、设备配件、汽车精密塑料零件超声波自动化焊接设备等产品的高新企业。      广东泰迡斯精密设备有限公司汇聚超声焊接行业精英，拥有丰富焊接应用实践经验，不断创新，提高自身设备技术等级。,http://tns-ultrasonic.com/,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466923/guangdong-tainisi-precision-equipment-co---ltd,https://image.imconlinereg.com/mm-mtc/2026-07-17/4358A74C6CB4FF1972692DEE02742D23.pdf
佛山市埃立自贸易有限公司,"Foshan Qiyou Medical Tech Co.,LTD",N1-A302,N1,CHINA,cat-02,公司成立9年，目前员工100人，车间面积5000平方米，10个发明专利+38个实用新型专利，专注于医用导丝代工生产，解决国内导丝OEM生产配套问题。,,https://exhibitors.informamarkets-info.com/event/2026Medtec/en-US/exhibitor/466924/foshan-qiyou-medical-tech-co--ltd,https://image.imconlinereg.com/mm-mtc/2026-04-30/A4BC26976624873C27E6BEE4D3D2E1D0.pdf
